Name,Level,HP,MP,ATK,MAG,VIT,SPR,LCK,EXP,SP,Gil
Captain (Epilogue),31,8280,28,49,8,24,21,24,1,24,1
Cerberus,89,88680,3380,152,207,19,11,93,788,80,72
Chain Machine,32,11800,1,38,15,53,17,12,453,1,142
Chief Petty Officer,26,3759,6,21,2,2,4,9,48,12,30
Chive,92,98980,9753,198,173,7,1,20,977,280,34
Coast Runner,22,5758,184,23,21,9,3,28,212,32,346
Combatant,28,5928,10,30,3,2,6,10,63,16,50
Corporal,13,782,14,10,3,8,8,10,16,8,40
Crazy Dagger,44,17432,1,58,30,162,59,37,477,1,134
Crazy Saw ,19,5340,1,22,20,153,55,8,327,1,72
Crazy Sword,73,102500,1,131,38,173,61,48,1390,1,223
Crescent Unit Aqua,29,7350,475,34,3,16,7,34,227,60,67
Crescent Unit Argentum,63,28400,721,98,97,24,20,23,712,100,196
Crescent Unit Auintus,66,77777,777,82,93,20,17,44,425,84,175
Crescent Unit Aurum,65,29500,783,101,99,25,22,23,820,108,217
Crescent Unit Autumnus,61,8980,666,72,78,22,19,23,499,92,185
Crescent Unit Celsus,80,65280,1024,138,143,34,27,10,1355,136,227
Crescent Unit Circulus,85,94585,971,129,121,33,26,10,1132,136,221
Crescent Unit Lux,7,1055,20,13,3,11,3,23,907,52,100
Crescent Unit Nomen,72,38860,894,122,113,29,24,23,1022,120,221
Crescent Unit Novus,24,4870,322,29,18,14,4,23,74,36,95
Crescent Unit Phantasma,73,61750,938,124,115,30,25,10,1094,128,230
Crescent Unit Plenum,26,5860,480,31,40,15,5,23,199,48,57
Crescent Unit Primus,62,55555,777,73,81,18,9,37,396,68,72
Crescent Unit Quartus,63,66666,777,77,88,18,15,41,396,68,96
Crescent Unit Secundus,62,55555,777,73,81,18,11,37,396,68,76
Crescent Unit Tertius,63,66666,777,77,88,18,13,41,396,68,90
Crescent Unit Ventus,68,33340,863,113,102,27,22,23,864,116,226
Crit Machine,55,78700,1,73,10,64,24,22,2916,1,133
Dark Nation,63,8370,73,39,55,10,7,42,228,40,61
Death Claw,23,9050,870,24,34,33,22,26,422,100,87
Deathgaze,79,17520,3280,58,113,23,52,15,1590,468,63
Death Machine,35,18800,1,38,13,57,21,16,966,1,106
Death Machine BIS,78,99500,1,202,10,79,33,29,5018,1,184
Demon,41,19182,999,41,48,25,158,44,1095,308,133
Destroyer,91,52500,5622,179,158,28,44,41,2381,116,147
Detonator,80,20430,2240,133,99,24,36,34,1632,96,118
Diatryma,71,188770,897,222,133,16,9,48,1340,228,102
Diceratops,52,25980,27,77,8,233,48,6,2688,156,158
Dinornis,60,265400,783,218,17,15,7,42,965,164,93
Dorky Face,29,4668,777,12,39,7,132,13,131,68,41
Drill Machine,38,13650,1,50,22,160,57,28,366,1,102
Dual Horn,31,12800,24,36,7,210,47,4,954,128,77
Emperor Sahagin,99,435700,887,142,155,65,20,73,4614,292,685
Ensign,33,22106,33,51,11,33,24,38,171,24,120
Epiornis,21,4987,103,21,10,8,2,24,144,32,55
Escort Head,39,8313,1,52,52,14,1,12,292,1,40
Evil Eye,32,7870,382,31,26,17,47,13,516,76,48
Evilgoyle,35,13668,999,23,42,24,158,43,770,280,73
Experiment No. 88,18,9999,172,25,24,150,205,43,58,56,1
Experiment No. 97,13,2203,48,18,13,53,44,11,48,92,1
Experiment No. 110,52,48509,483,54,55,18,17,72,5769,468,1
Experiment No. 111,62,11007,876,51,58,21,49,27,956,176,1
Experiment No. 112,68,68350,372,75,92,16,22,41,957,336,1
Experiment No. 113,48,43500,1738,62,93,33,36,72,1155,772,1
Experiment No. 114,43,105000,9999,67,103,58,28,10,1698,176,1
Experiment No. 115,46,82240,2270,121,81,13,29,15,511,304,1
Experiment No. 116,93,223760,5440,143,102,34,27,28,4052,900,1
Experiment No. 117,89,217980,624,143,63,14,5,40,522,460,81
Experiment No. 118,90,132500,1111,106,124,9,172,23,1374,460,1
Experiment No. 119,91,188500,9999,99,107,28,166,48,2022,892,1
Experiment No. 120,92,162850,7750,141,104,26,37,38,1720,180,1
Experiment No. 121,95,278500,8520,202,10,33,162,64,8756,216,1
Experiment No. 122,77,106500,1458,131,171,14,36,77,626,464,1
Experiment No. 123,72,435850,999,124,185,102,29,10,4797,1,1
Experiment No. 124,88,428750,9999,140,140,128,60,10,9264,1000,1
Explosive,95,89800,6890,254,254,30,48,48,2870,128,180
Fly Eye,14,2218,244,6,25,8,41,7,17,24,14
Flying Machine,21,4253,1,24,8,165,73,16,322,1,93
Foulander,5,482,124,7,6,11,17,3,22,12,22
G Antenora,36,68460,885,49,21,16,144,38,3430,1600,44
G Assailant,12,2040,102,12,16,18,28,16,72,60,77
G Assassin,6,720,55,8,10,13,22,8,18,24,58
G Attacker,15,1680,89,11,22,14,18,6,86,40,46
G Avenger,8,1230,82,10,12,17,26,12,34,48,68
G Baldor,44,72380,580,46,67,33,70,44,1906,232,950
G Battler,16,8300,472,18,27,62,33,22,577,176,112
G Blader,19,9780,381,24,26,25,58,23,665,180,720
G Caina,36,68460,885,49,21,16,144,38,3430,1600,44
G Centurion,73,18435,2246,102,105,25,31,19,1282,164,156
G Commando,17,2448,221,13,11,20,32,20,106,76,207
G Deleter,27,16610,589,26,43,76,34,33,798,188,130
G Devastator,43,88287,973,52,54,80,38,42,1478,264,161
G Diver,17,3440,97,16,31,21,33,20,136,88,122
G Dominator,51,125200,2380,72,99,26,14,44,7770,1040,189
G Equites,64,218560,3057,121,112,29,17,46,9726,1268,207
G Enforcer,82,112850,2248,181,133,83,37,47,5644,320,182
G Fine,71,378500,5886,144,254,42,171,153,9039,848,144
G General,63,164430,2210,92,101,35,78,48,4004,308,1560
G Guardian,72,60245,1355,174,127,82,33,46,4455,288,173
G Hetairos,72,418750,7380,131,135,38,19,48,14398,1424,233
G Hoplite,85,48580,446,217,194,30,42,38,891,344,136
G Intruder,84,27850,408,157,144,28,40,33,1075,240,133
G Judecca,36,68450,885,49,21,16,144,38,3430,1600,44
G Legion,18,3040,256,16,35,20,23,10,188,92,93
G Lucifero,36,68460,885,49,21,16,144,38,3430,1600,44
G Marine,34,8350,106,27,36,28,42,22,224,100,131
G Paladin,52,87540,890,51,99,34,74,46,2558,264,1240
G Peltast,87,52580,475,203,134,34,45,44,1026,488,182
G Predator,33,12460,788,28,44,78,36,36,946,232,146
G Prowler,71,7675,385,96,77,26,37,27,729,160,108
G Ptolomea,36,68460,885,49,21,16,144,38,3430,1600,44
G Purgatorio,65,102850,4980,122,171,38,166,124,6672,408,99
G Renegade,82,232400,3440,142,203,36,82,52,6029,348,1660
G Scutatus,77,17570,397,131,122,27,38,30,416,200,116
G Slayer,32,27590,462,31,29,29,66,43,1011,200,830
G Smasher,17,8800,175,23,21,23,59,22,375,144,640
G Spartan,65,8240,638,68,31,24,29,16,612,148,135
G Trooper,16,2030,121,12,31,17,21,8,98,80,86
G Valiant,39,6845,275,39,38,24,35,22,144,108,102
G Veritas,52,6771,522,47,31,22,27,13,501,108,122
G Warrior,15,8290,256,15,26,61,31,13,469,144,98
Great Malboro,99,3385000,9950,182,199,202,208,88,31936,928,293
Gaea Malboro,73,1285650,6583,174,142,26,153,74,23925,688,262
Gargoyle,34,6668,999,13,41,21,152,40,378,240,56
Garnet Mole,66,5735,127,88,43,16,12,38,290,92,42
Garuda,81,114680,1520,207,232,14,17,42,2021,320,138
Giant Hornets,96,13850,989,228,186,253,7,102,1586,128,338
Goliath,99,880000,1,255,28,192,48,31,23264,1,1
Grand Horn,98,65040,33,224,9,248,49,10,8673,308,297
Grandpanzer,82,380486,1,201,26,186,46,26,11011,1,596
Grangaian,34,12050,999,32,34,148,223,33,970,200,300
Grangaian Jr.,32,7880,999,30,29,147,221,37,668,24,100
Grannygaian,90,312800,9999,222,208,158,252,39,4350,1000,1000
Grashtrike,13,1430,24,8,8,11,8,11,9,20,5
Gray Bomb,27,15530,152,14,30,15,12,16,166,36,73
Green Grass,41,5872,593,30,35,6,8,16,228,180,24
Green Materia,31,14352,999,4,36,133,144,10,48,132,100
Gremlin,70,58770,3380,124,157,11,24,18,359,108,59
Grenade,35,6870,304,27,54,17,28,22,487,64,83
Grenade Combatant,23,2840,4,20,2,3,3,7,133,12,30
Griffon,34,17840,589,36,35,19,21,56,631,176,283
Grosspanzer,43,78600,1,61,22,177,43,22,1960,1,453
Guard,30,7180,12,34,4,2,8,13,93,20,69
Guard Fang,17,2060,56,17,11,6,4,23,86,24,48
Guard Hound,4,491,9,5,3,1,3,6,10,8,23
Guardian Eyes,75,315400,1,175,68,68,19,48,8083,1,611
Gun Bull Head,20,4740,1,18,18,14,1,9,97,1,20
Gun Bull Head+,71,8785,1,93,93,64,1,16,538,1,60
Hauser Head,75,88888,1,219,239,101,1,22,875,1,100
Head Hunter,21,2810,33,20,20,13,9,19,124,64,38
Hedgehog Pie,10,1512,55,10,13,6,18,14,54,28,24
Heli Gunner,8,1850,1,13,2,163,72,12,51,1,91
Hell Slasher,60,41245,1,112,36,171,60,41,876,1,197
Hellhound,67,12240,328,99,78,12,9,63,464,48,66
Hexodon,76,168500,6680,141,207,19,90,23,507,32,68
Hippogriff,71,95250,3555,93,78,23,24,63,2346,376,283
Holy Tonberry,99,728770,9999,187,255,28,29,72,1,1,20000
Horned Devil,63,72800,9999,153,202,31,188,52,3996,372,172
Hornets,50,5604,432,53,23,240,3,68,438,100,86
Humbaba,99,898500,7890,255,245,23,21,44,19018,2660,186
Hungry ,26,9767,375,33,33,11,26,55,302,96,112
Hurting Hound,42,6689,61,44,17,8,5,32,146,36,52
Ifrit (Fort Tamblin),8,6720,403,17,14,20,30,12,321,1,430
Ifrit (Mission),9,7820,403,18,15,20,30,12,162,162,180
Imp,80,58770,5680,153,162,13,26,20,527,120,71
Iron Claw,71,69780,1860,177,33,39,37,37,8138,320,118
Jabberwock,67,287580,5260,212,123,19,18,42,11572,1108,143
Jack o’ Lantern,82,92850,2222,187,173,9,180,24,2265,200,189
Jatayu,76,88400,1023,206,207,11,13,33,1589,252,99
Kactaar,93,99999,999,12,130,251,255,155,2,12000,1
Kactuar,18,99,38,6,96,248,255,99,1,200,1
Kactuare,99,399999,999,255,96,249,255,255,1,24000,1
Kactaer,24,399,42,23,130,250,255,99,1,800,1
Killer Bee,89,8280,587,137,112,251,5,88,912,112,124
Killer Stinger,77,93850,564,193,133,19,17,63,1078,128,56
King Sahagin,74,324580,597,128,128,47,18,66,2963,208,532
King Scarab,56,6253,2320,91,14,18,89,16,264,28,38
Land Malboro,63,264680,3230,141,113,24,144,63,8860,460,183
Land Worm,28,4400,134,25,41,8,19,11,77,68,20
Lature Dano,89,58580,1223,142,133,21,29,19,1916,188,90
Launcher Machine,32,12500,1,33,17,56,17,14,453,1,142
Lava Worm,48,7380,226,71,78,11,22,13,305,96,1
Lesser Demon,84,115800,7220,172,178,15,230,22,726,136,283
Lesser Worm,77,42450,933,172,19,15,33,19,936,140,99
Magic Pot,96,999999,9999,1,1,255,255,255,1,1,1
Mako Ifrit,81,2262870,7980,118,214,48,44,102,9222,888,1
Makonoid,88,325800,9973,199,255,48,173,177,16994,480,1
Malboro,38,48760,1235,53,52,21,142,56,2040,336,141
Mama Grangalan,80,175800,9999,244,228,158,250,44,2900,200,500
Man Hunter,72,86800,255,182,99,17,15,52,864,108,48
Mandragora,29,1776,384,11,13,4,6,2,77,80,18
Mandrake,63,9975,2865,107,108,6,9,18,470,228,25
Martial Tank,77,108770,1,98,24,183,44,24,4980,1,486
Master Blade,77,385000,1,158,22,178,63,56,1897,1,301
Master Tonberry,99,827800,9999,255,255,33,29,72,1,1,10000
Mbarrier Machine,55,78700,1,73,10,64,24,22,2916,1,133
Me Grangaian,70,143500,9999,255,248,58,248,53,1450,24,100
Metal Saucer I,14,1680,1,8,19,7,2,1,41,1,16
Metal Saucer III,55,4786,1,63,19,16,2,1,235,1,52
Metal Saucer IV,81,20850,1,108,19,21,2,1,507,1,67
Mine,45,2000,633,48,30,30,32,26,652,76,96
Missile Machine,75,95240,1,165,17,78,31,28,4279,1,173
Mock Trooper A,80,92500,520,142,202,46,188,64,1446,972,78
Mock Trooper B,80,92500,5280,142,202,195,36,1,2518,300,1
Mock Trooper C,80,92500,2384,142,202,93,133,1,2524,348,1
Most Hungry,91,398500,7830,187,151,23,38,99,3074,254,184
Moth Slasher,18,3500,1,17,7,150,52,6,184,1,24
Mover,41,5870,889,3,66,233,250,10,118,2000,1
Mover EX,72,34860,6723,102,244,238,254,16,863,8000,1
Mover RE,60,14860,3333,88,102,234,251,12,281,4000,1
Nandi,84,48200,985,133,114,19,26,17,1658,160,90
Needle Kiss,19,2650,232,18,24,5,8,18,196,100,59
Needle Machine,24,7430,1,33,15,60,16,10,258,1,142
Nightmare,34,13200,888,32,48,8,153,17,420,120,58
Nisumbha,78,21850,863,113,110,16,25,15,1254,136,81
Pachyornis,44,10089,326,44,22,11,3,33,236,48,68
Panzer Jr.,30,2270,1,27,11,8,4,3,12,1,1
Panzer Jr.+,90,16528,1,187,10,12,8,4,85,1,1
Power Head,63,6879,1,97,97,14,1,14,478,1,50
Proto Cannon Head,73,20270,1,206,206,84,33,20,761,1,80
Proto Power Head,38,6480,1,49,49,14,1,11,228,1,30
Pumpkin,63,13450,999,37,77,8,193,20,1138,156,132
Rajincho,16,1944,163,11,17,4,7,4,44,56,24
Razor Weed,37,4692,458,26,31,5,7,12,149,148,20
Red Cap,42,6128,438,37,33,7,21,15,66,68,33
Red Materia,31,14352,999,4,36,133,144,10,48,132,100
Red Saucer,5,570,1,7,8,1,2,1,11,1,8
Red Saucer II,17,3333,1,14,10,11,2,1,56,1,28
Red Saucer III,15,2220,1,12,10,9,2,1,48,1,20
Red Saucer IV,78,17250,1,99,10,20,2,1,461,1,60
Red Scorpion,63,96080,1,68,61,61,15,43,3318,1,415
Remedy Bomb,27,15530,152,14,30,15,26,16,166,36,73
Repair Machine,55,15300,1,73,10,64,24,22,2916,1,133
Replicon,16,3480,72,25,22,7,3,18,126,20,33
S Mine,86,17850,3384,101,87,23,34,32,1466,88,114
Sahagin,23,10445,41,15,18,11,9,28,335,100,77
Sahagin Chief,63,9875,263,101,101,22,16,48,1119,124,97
Sahagin Prince,71,44680,348,112,122,28,17,52,2085,180,133
Scarab,29,3776,123,21,28,17,88,8,88,20,24
Scarlet Pick,88,65740,1,222,82,72,20,53,9854,1,703
Scissor Chitin,62,33850,1028,111,112,36,30,31,5460,180,94
Scissor Claw,64,57580,1240,151,10,37,33,33,6446,228,106
Scissor Devil,82,78500,2080,196,196,43,41,68,11281,369,134
Sea Hulk,36,52800,187,44,31,22,23,33,1052,220,78
Sea Worm,14,3352,85,18,36,7,12,13,177,52,61
Sentry,3,210,2,3,1,2,1,3,1,1,1
Sergeant,27,8190,20,29,6,19,12,16,122,16,80
Sergeant Major,29,11376,22,31,6,21,13,18,133,20,90
Shadow Monk,83,158540,3333,188,224,9,242,25,2902,260,238
Shinra Troop,29,6150,11,31,3,65,7,12,1,20,0
Shooter Machine,64,33205,1,91,17,67,27,23,2736,1,152
Simurgh,59,12850,853,103,101,8,11,26,586,144,86
Sky Armor,33,16844,1,34,18,177,80,32,1236,1,106
Sky Gunner,27,8190,1,26,15,172,74,24,524,1,99
Slaps,27,2280,387,16,5,238,1,37,228,64,72
Special Oops Officer,27,6460,8,26,3,2,5,10,56,16,40
Spike Machine,79,62850,1,188,15,77,29,27,3652,1,173
Spitfire,48,22205,1,46,29,189,83,40,1919,1,118
Spriggan,4,460,35,8,10,3,17,12,11,30,12
Steam Engine,34,12510,294,22,33,32,40,21,238,48,185
Stive Machine,87,122800,1,201,15,83,34,30,7155,1,193
Storm Trooper,8,538,3,16,2,3,2,5,8,8,20
Sumbha,66,16208,530,77,53,14,23,9,655,96,61
Support Machine+,73,2880,1,53,30,10,6,4,39,1,1
Sweeper,13,3400,1,15,15,33,7,4,65,1,84
Sweeper+,18,3380,1,17,10,55,15,8,163,1,96
Sweeper++,58,24580,1,78,15,61,23,18,1688,1,112
Sweeper+++,77,37870,1,142,15,72,28,25,3432,1,161
Tarantula,69,247800,1,161,64,63,17,46,6380,1,521
Three Stars,80,67850,9999,135,255,242,255,20,1293,20000,1
Thunderbird,57,13580,467,58,99,6,8,22,349,120,73
Titanis,62,13892,538,68,22,12,4,38,330,88,76
Tonberry,17,9999,999,22,22,7,12,54,1,1,500
Tonberry Guard,80,274580,9999,155,218,21,21,63,1,1,5000
Tonberry King,90,487800,9999,187,255,28,26,66,1,1,10000
Touchy Bomb,27,15530,152,14,30,15,26,16,166,36,73
Trap,19,872,102,15,26,21,24,11,52,20,26
Tycoon,88,215000,8344,154,154,27,23,65,9802,668,860
Vajradhara Asura,61,305000,113,255,1,28,4,14,8429,224,187
Vajradhara Cala,34,41600,59,46,1,27,2,5,873,128,56
Vajradhara Indra,46,52612,72,58,1,28,3,6,2145,148,142
Vajradhara Karura,49,84658,89,75,1,28,3,10,3808,168,163
Vajradhara Kinnara,52,92543,104,86,2,28,3,13,6516,196,187
Vajradhara Kumbhira,52,92543,97,86,2,28,3,11,6516,196,187
Vajradhara Rakshasa,44,44040,67,55,1,27,2,5,1384,136,78
Vajradhara Yaksha,21,17500,48,38,31,27,2,4,483,112,44
Very Hungry,72,137800,6250,104,121,14,34,72,2330,136,153
Volcano,86,27850,3384,155,107,27,42,40,1994,108,131
Warrant Officer,30,14971,24,48,7,23,16,20,138,20,100
Water Warrior,26,17445,41,26,32,12,13,39,384,116,173
Worm,12,3300,38,14,19,4,7,9,66,36,58
Worm Elite,68,12290,644,132,87,14,31,16,662,112,81
Wutai Captain,34,4654,17,38,12,16,9,27,242,36,56
Wutai Colonel,59,29330,29,121,15,20,17,3,724,48,80
Wutai Corporal,24,4280,15,25,7,14,6,18,172,32,44
Wutai Imperial Guard,70,48520,36,153,17,24,23,3,907,52,100
Wutai Private,3,178,9,6,3,11,3,1,4,1,12
Wutai Sergeant,4,575,12,12,3,11,3,3,10,8,24
Wutai Sergeant Major,26,4258,16,28,10,15,7,23,205,32,48
Wutai Soldier Bing,18,2227,16,17,8,14,7,22,104,12,24
Wutai Soldier Ding,25,3280,16,27,11,15,8,26,143,16,26
Wutai Soldier Geng,48,19570,33,101,16,21,19,1,476,28,34
Wutai Soldier Ji,42,103054,23,74,14,17,13,31,383,24,30
Wutai Soldier Jia,14,691,10,14,5,13,3,9,8,8,16
Wutai Soldier Wu,37,4375,19,71,14,16,11,29,311,20,28
Wutai Soldier Xin,60,20350,34,122,16,22,21,1,712,32,40
Wutai Soldier Yi,16,1272,14,16,6,14,5,16,44,12,20
Wutai Staff Sergeant,19,3350,14,21,6,13,4,14,63,28,30
Wutai War Chief,55,21053,24,103,14,18,15,3,575,40,60
Wyerd,55,48799,29,133,9,254,48,7,5966,244,263
Yellow Materia,31,14352,999,4,36,133,144,10,48,132,100
Angeal Penance,25,27800,544,37,44,107,163,24,4711,3000,4000
Bahamut (Banora),13,8740,424,18,24,69,102,16,276,300,280
Bahamut (Mission),17,10320,820,20,27,99,102,22,654,408,380
Bahamut Fury (Shinra HQ),20,18000,312,25,111,36,118,30,682,1,410
Bahamut Fury (Mission),72,99999,1380,79,38,117,104,64,1411,1184,560
Behemoth,6,7870,122,8,11,10,9,8,7,16,1
Behemoth King,41,118780,321,62,52,14,11,39,3280,316,96
Blizzard Materia,30,14352,505,2,35,104,155,10,48,104,1
Cutter Machine ,15,9800,1,15,12,52,15,6,172,1,121
Fire Materia,30,14352,505,2,35,104,155,10,48,104,1
G Eliminator,38,65300,999,41,39,18,11,36,2180,420,113
G Regicide,40,95800,1830,58,66,22,12,38,3718,648,154
G Shadow Knight,36,5500,61,33,29,64,70,46,1,24,1
G Shadow Mage,36,4463,124,17,40,29,180,42,1,24,1
G Shadow Scythe,36,5072,24,43,17,180,30,44,1,24,1
G Eraser,15,8400,170,14,21,22,58,17,161,112,560
General’s Tank,26,26860,1,32,18,175,40,20,918,1,336
Genesis (1st),20,14800,525,39,38,74,88,32,3318,2004,5000
Genesis (5-1-5),20,14800,525,39,38,74,88,32,785,420,1
Genesis,46,99999,9999,51,43,37,48,61,1,1,1
Genesis Avatar,53,600000,2301,57,48,26,20,36,1,1,1
Guard Scorpion,32,49180,1,35,32,58,14,32,1872,1,333
Guard Spider,10,7225,1,17,14,54,12,16,162,1,120
Hollander (Normal),37,98540,156,20,42,6,82,37,9977,1780,3000
Hollander (M5-2-3),37,98540,156,20,42,6,82,37,1753,308,85
Ifrit (Fort Tamblin),8,6720,403,17,14,20,30,12,321,1,430
Ifrit (Mission),9,7820,403,18,15,20,30,12,162,162,180
Materia,50,230000,5000,60,54,81,128,35,1,1,1
Minerva,100,10000000,999999,255,255,201,255,255,1,40000,1
Pile Machine,16,10230,1,16,15,47,14,6,172,1,121
Sephiroth (Reactor),13,52820,424,40,38,120,128,62,6415,1,1
Sephiroth (Mission),36,31900,9999,50,39,126,165,64,7358,1200,1
Shot Machine,14,8680,1,12,17,57,16,6,172,1,121
Support Machine,12,1470,1,10,9,6,2,3,12,1,1
Support Materia,30,14352,505,2,35,104,155,10,48,104,1
Thunder Materia,30,14352,505,2,35,104,155,10,48,104,1
Vajradhara Tai,7,2900,22,14,1,27,1,4,69,80,38
Vajradhara Wu,7,2900,22,14,1,27,1,4,69,80,38
